bar,inst_id,hit_time_cn,hit_ts,multiple,previous_amplitude_percent,previous_change_percent,volume_multiple,threshold_price,hit_open,hit_high,hit_low,hit_close,next_candle_time_cn,next_candle_change_percent,next_open,next_high,next_low,next_close,next_high_vs_threshold_percent,next_high_vs_threshold_multiple,next_low_vs_threshold_percent,next_low_vs_threshold_multiple,next_close_vs_threshold_percent,next_close_vs_threshold_multiple,next_low_below_threshold,next_close_below_threshold,data_completeness
1H,0G-USDT-SWAP,2026-04-13 00:00:00,1776009600000,13.925020,1.868660,1.067806,74.831554,0.673940,0.568000,0.715600,0.567800,0.612300,2026-04-13 01:00:00,0.571709,,,,,,,,,,,,,partial_only
1H,1INCH-USDT-SWAP,2023-11-08 15:00:00,1699426800000,10.923386,1.928133,1.197780,98.196730,0.412129,0.346600,0.418300,0.345300,0.389100,2023-11-08 16:00:00,-2.057613,,,,,,,,,,,,,partial_only
1H,2Z-USDT-SWAP,2025-11-22 00:00:00,1763740800000,14.931071,3.833333,2.583333,26.787346,0.168650,0.123000,0.191900,0.121500,0.154600,2025-11-22 01:00:00,-3.171521,,,,,,,,,,,,,partial_only
1H,ANIME-USDT-SWAP,2025-11-22 04:00:00,1763755200000,12.733027,2.941637,2.081051,17.837260,0.008422,0.006525,0.008947,0.006503,0.006675,2025-11-22 05:00:00,0.224719,,,,,,,,,,,,,partial_only
1H,APE-USDT-SWAP,2024-10-20 05:00:00,1729371600000,15.398009,1.460734,1.420531,44.095768,0.867234,0.756700,0.926900,0.756700,0.912500,2024-10-20 06:00:00,-3.660274,,,,,,,,,,,,,partial_only
1H,API3-USDT-SWAP,2026-02-07 08:00:00,1770422400000,12.782434,2.451613,1.225806,94.050289,0.390281,0.314000,0.411700,0.313300,0.385700,2026-02-07 09:00:00,-0.492611,,,,,,,,,,,,,partial_only
1H,ARKM-USDT-SWAP,2025-02-21 13:00:00,1740114000000,12.223611,2.524480,1.774786,31.426726,0.828954,0.665300,0.866300,0.661000,0.719000,2025-02-21 14:00:00,1.279377,,,,,,,,,,,,,partial_only
1H,ARKM-USDT-SWAP,2025-03-11 14:00:00,1741672800000,12.510030,3.838604,3.664122,96.745724,0.656234,0.475000,0.702000,0.473900,0.636800,2025-03-11 15:00:00,-9.563442,,,,,,,,,,,,,partial_only
1H,AUCTION-USDT-SWAP,2024-05-29 17:00:00,1716973200000,28.052223,2.476052,1.103580,66.776408,22.438521,18.051000,30.507000,17.969000,25.579000,2024-05-29 18:00:00,-0.281811,,,,,,,,,,,,,partial_only
1H,BABY-USDT-SWAP,2025-07-10 11:00:00,1752116400000,11.155216,1.816627,1.667023,34.917771,0.055942,0.047570,0.056940,0.047300,0.050230,2025-07-10 12:00:00,3.464755,,,,,,,,,,,,,partial_only
1H,BAND-USDT-SWAP,2026-04-17 19:00:00,1776423600000,13.365489,2.678571,2.295918,28.545383,0.303620,0.240500,0.325300,0.239200,0.308800,2026-04-17 20:00:00,-21.488673,,,,,,,,,,,,,partial_only
1H,BEAT-USDT-SWAP,2025-11-20 21:00:00,1763643600000,14.050851,11.654603,8.009797,3.605979,1.275532,0.591150,1.554620,0.586570,0.935280,2025-11-20 22:00:00,-16.613949,,,,,,,,,,,,,partial_only
1H,BIGTIME-USDT-SWAP,2025-08-29 08:00:00,1756425600000,14.993211,1.656278,1.228851,217.881809,0.066278,0.056860,0.070980,0.056860,0.066000,2025-08-29 09:00:00,-1.258148,,,,,,,,,,,,,partial_only
1H,BIO-USDT-SWAP,2025-04-17 15:00:00,1744873200000,12.866548,2.096956,1.014656,16.393452,0.054206,0.044810,0.056900,0.044810,0.052630,2025-04-17 16:00:00,11.096333,,,,,,,,,,,,,partial_only
1H,COMP-USDT-SWAP,2024-11-23 07:00:00,1732316400000,10.326862,1.623084,1.605050,11.173324,65.411208,56.320000,65.710000,56.270000,64.630000,2024-11-23 08:00:00,-3.728342,,,,,,,,,,,,,partial_only
1H,FLOKI-USDT-SWAP,2024-02-09 14:00:00,1707458400000,10.153395,1.335616,1.301370,23.851463,0.000033,0.000030,0.000034,0.000030,0.000033,2024-02-09 15:00:00,-4.184484,,,,,,,,,,,,,partial_only
1H,FLOW-USDT-SWAP,2026-02-06 23:00:00,1770390000000,17.215335,2.710509,2.155077,4.869165,0.058136,0.045990,0.067130,0.045670,0.050050,2026-02-07 00:00:00,1.238761,,,,,,,,,,,,,partial_only
1H,GLM-USDT-SWAP,2025-04-12 18:00:00,1744452000000,10.180031,1.479655,1.315249,198.173069,0.282044,0.246300,0.282700,0.245600,0.268200,2025-04-12 19:00:00,-4.998135,,,,,,,,,,,,,partial_only
