bar,inst_id,hit_time_cn,hit_ts,multiple,previous_amplitude_percent,previous_change_percent,volume_multiple,threshold_price,hit_open,hit_high,hit_low,hit_close,next_candle_time_cn,next_candle_change_percent,next_open,next_high,next_low,next_close,next_high_vs_threshold_percent,next_high_vs_threshold_multiple,next_low_vs_threshold_percent,next_low_vs_threshold_multiple,next_close_vs_threshold_percent,next_close_vs_threshold_multiple,next_low_below_threshold,next_close_below_threshold,data_completeness
4H,AGLD-USDT-SWAP,2026-02-22 16:00:00,1771747200000,10.187620,5.113402,2.474227,18.950218,0.371417,0.248400,0.373800,0.244400,0.353900,2026-02-22 20:00:00,8.644068,0.354000,0.392800,0.325500,0.384600,5.757167,1.057572,,,,,,,full_ohlc
4H,API3-USDT-SWAP,2024-01-28 00:00:00,1706371200000,12.360017,1.747379,1.198203,18.213869,2.377368,2.028000,2.461000,2.023000,2.423000,2024-01-28 04:00:00,21.130830,2.423000,3.101000,2.380000,2.935000,30.438343,1.304383,,,,,,,full_ohlc
4H,BARD-USDT-SWAP,2026-02-28 12:00:00,1772251200000,11.454566,2.236980,1.363160,32.493436,1.063295,0.869900,1.091600,0.868700,1.005200,2026-02-28 16:00:00,-0.925189,1.005200,1.029800,0.984600,0.995900,-3.150104,0.968499,,,,,,,full_ohlc
4H,BAT-USDT-SWAP,2020-12-18 16:00:00,1608278400000,10.772790,1.138852,1.095050,13.005419,0.258756,0.232300,0.260800,0.232300,0.250400,2020-12-18 20:00:00,-2.108194,0.251400,0.258900,0.241800,0.246100,0.055828,1.000558,,,,,,,full_ohlc
4H,BCH-USDT-SWAP,2024-03-02 08:00:00,1709337600000,15.608365,1.989092,1.507860,27.109922,378.614982,316.300000,413.900000,315.700000,403.600000,2024-03-02 12:00:00,-2.576809,403.600000,417.700000,389.700000,393.200000,10.323157,1.103232,,,,,,,full_ohlc
4H,BEAT-USDT-SWAP,2025-11-20 20:00:00,1763640000000,17.903119,10.354142,9.467787,6.717997,1.106944,0.547080,1.554620,0.540490,0.709180,2025-11-21 00:00:00,31.397989,0.709090,0.949950,0.697710,0.931730,-14.182680,0.858173,,,,,,,full_ohlc
4H,BERA-USDT-SWAP,2026-04-04 16:00:00,1775289600000,13.294010,2.020202,1.207194,36.692652,0.489170,0.410700,0.516500,0.406200,0.495800,2026-04-04 20:00:00,-14.888037,0.495700,0.497200,0.420200,0.421900,1.641619,1.016416,,,,,,,full_ohlc
4H,BICO-USDT-SWAP,2023-11-15 12:00:00,1700020800000,10.265857,2.498078,1.306687,35.754377,0.329249,0.263600,0.331000,0.263400,0.309400,2023-11-15 16:00:00,-3.878474,0.309400,0.311900,0.293000,0.297400,-5.269364,0.947306,,,,,,,full_ohlc
4H,BIO-USDT-SWAP,2025-10-20 12:00:00,1760932800000,10.200301,4.621447,1.050872,11.565460,0.123187,0.084620,0.123970,0.084080,0.106000,2025-10-20 16:00:00,0.622407,0.106040,0.113100,0.100180,0.106700,-8.188131,0.918119,,,,,,,full_ohlc
4H,CELO-USDT-SWAP,2022-03-17 08:00:00,1647475200000,22.702977,2.276680,1.335968,24.928442,3.118036,2.563100,3.859300,2.534500,3.156900,2022-03-17 12:00:00,-1.827742,3.156900,3.371200,3.052100,3.099200,8.119348,1.081193,,,,,,,full_ohlc
4H,CFX-USDT-SWAP,2021-09-19 00:00:00,1631980800000,19.924838,10.633501,4.416934,12.385769,0.563177,0.273360,0.851670,0.272500,0.661340,2021-09-19 04:00:00,-5.741670,0.665660,0.714360,0.566800,0.627440,26.844580,1.268446,,,,,,,full_ohlc
4H,CFX-USDT-SWAP,2022-03-24 16:00:00,1648108800000,11.780495,1.739338,1.103963,33.929409,0.149368,0.127280,0.153310,0.127230,0.136500,2022-03-24 20:00:00,-2.036630,0.136500,0.140310,0.131420,0.133720,-6.064399,0.939356,,,,,,,full_ohlc
4H,DOGE-USDT-SWAP,2021-01-28 12:00:00,1611806400000,11.940848,7.726477,5.693902,75.949443,0.013926,0.007856,0.015104,0.007856,0.010861,2021-01-28 16:00:00,17.341468,0.010818,0.013283,0.010804,0.012694,-4.616719,0.953833,,,,,,,full_ohlc
4H,DYDX-USDT-SWAP,2024-10-20 20:00:00,1729425600000,18.696619,1.710162,1.344405,22.346002,1.197526,1.025200,1.350000,1.022200,1.233200,2024-10-21 00:00:00,4.167680,1.233300,1.319100,1.206400,1.284700,10.152113,1.101521,,,,,,,full_ohlc
4H,EDEN-USDT-SWAP,2025-12-16 12:00:00,1765857600000,10.386499,4.515103,1.001590,113.285624,0.091350,0.063630,0.092460,0.062620,0.078550,2025-12-16 16:00:00,-9.447415,0.078540,0.079600,0.068190,0.071120,-12.862237,0.871378,,,,,,,full_ohlc
4H,EGLD-USDT-SWAP,2023-11-05 08:00:00,1699142400000,11.181157,2.758216,1.995305,144.807489,44.337559,34.760000,45.470000,34.750000,44.620000,2023-11-05 12:00:00,10.670253,44.610000,52.900000,44.100000,49.370000,19.311937,1.193119,,,,,,,full_ohlc
4H,EGLD-USDT-SWAP,2025-04-25 08:00:00,1745539200000,10.041384,2.245789,1.310044,57.582017,19.864916,16.230000,19.880000,16.220000,18.270000,2025-04-25 12:00:00,-0.218818,18.280000,18.400000,17.810000,18.240000,-7.374387,0.926256,,,,,,,full_ohlc
4H,F-USDT-SWAP,2026-02-08 08:00:00,1770508800000,14.798491,3.237992,1.924807,63.809417,0.007501,0.005666,0.008381,0.005666,0.006458,2026-02-08 12:00:00,4.319554,0.006459,0.007092,0.006338,0.006738,-5.448151,0.945518,,,,,,,full_ohlc
4H,GLM-USDT-SWAP,2024-09-21 08:00:00,1726876800000,12.851385,1.487229,1.325574,114.262059,0.360010,0.313400,0.373300,0.313400,0.341300,2024-09-21 12:00:00,1.583113,0.341100,0.349500,0.338500,0.346500,-2.919300,0.970807,,,,,,,full_ohlc
4H,GMX-USDT-SWAP,2024-08-24 16:00:00,1724486400000,22.779934,1.563082,1.488649,49.571573,31.452523,27.270000,36.900000,27.190000,32.930000,2024-08-24 20:00:00,-3.007290,32.920000,33.270000,31.860000,31.930000,5.778477,1.057785,,,,,,,full_ohlc
4H,IMX-USDT-SWAP,2023-09-21 08:00:00,1695254400000,10.141617,2.776235,2.332038,119.619403,0.706526,0.553000,0.708700,0.553000,0.697200,2023-09-21 12:00:00,-4.029829,0.697300,0.703900,0.653400,0.669200,-0.371652,0.996283,,,,,,,full_ohlc
4H,IOST-USDT-SWAP,2022-03-31 08:00:00,1648684800000,11.647123,4.229403,2.735464,25.486094,0.049572,0.035018,0.052011,0.034761,0.050738,2022-03-31 12:00:00,-3.604775,0.050766,0.052694,0.046620,0.048936,6.298930,1.062989,,,,,,,full_ohlc
4H,IP-USDT-SWAP,2025-08-30 20:00:00,1756555200000,13.544023,2.594927,2.350584,22.879354,7.885456,6.284400,8.463400,6.254700,8.373200,2025-08-31 00:00:00,-3.430419,8.380900,8.563900,7.337100,8.093400,8.603736,1.086037,,,,,,,full_ohlc
4H,JELLYJELLY-USDT-SWAP,2025-09-09 20:00:00,1757419200000,10.045882,4.143713,1.221557,15.258056,0.059760,0.042280,0.059840,0.042240,0.057480,2025-09-10 00:00:00,-19.693807,0.057480,0.060600,0.044050,0.046160,1.406273,1.014063,,,,,,,full_ohlc
4H,JELLYJELLY-USDT-SWAP,2026-03-10 08:00:00,1773100800000,15.258085,2.757326,1.357009,27.049313,0.086554,0.070190,0.096730,0.067200,0.078670,2026-03-10 12:00:00,-22.917462,0.078630,0.090250,0.058150,0.060610,4.270559,1.042706,,,,,,,full_ohlc
